"","x"
"1","93"
"2","74"
"3","97"
"4","89"
"5","71"
"6","09"
"7","95"
"8","01"
"9","18"
"10","04"
"11","41"
"12","32"
"13","70"
"14","17"
"15","20"
"16","05"
"17","81"
"18","23"
"19","15"
"20","80"
"21","79"
"22","24"
"23","55"
"24","91"
"25","75"
"26","83"
"27","22"
"28","87"
"29","92"
"30","94"
"31","38"
"32","33"
"33","76"
"34","31"
"35","88"
"36","48"
"37","07"
"38","08"
"39","42"
"40","54"
"41","90"
"42","45"
"43","73"
"44","10"
"45","16"
"46","82"
"47","06"
"48","30"
"49","96"
"50","77"
"51","47"
"52","78"
"53","62"
"54","67"
"55","64"
"56","29"
"57","53"
"58","26"
"59","86"
"60","57"
"61","60"
"62","46"
"63","61"
"64","39"
"65","49"
"66","52"
"67","14"
"68","65"
"69","51"
"70","58"
"71","11"
"72","36"
"73","63"
"74","40"
"75","59"
"76","35"
"77","85"
"78","28"
"79","19"
"80","37"
"81","34"
"82","72"
"83","84"
